NTAName,GeoID,Borough,Pop,MdAge,PopU18,Pop65pl,Hsp_E,Hsp_P,Wt_E,Wt_P,Bl_E,Bl_P,Asn_E,Asn_P,Rc2pl_E,Rc2pl_P,Oths_E,Oths_P
Coney Island-Sea Gate,BK1302,Brooklyn,"51,468",48.3,"10,159","14,634","9,502",18.5,"25,683",49.9,"9,651",18.8,"4,849",9.4,"1,596",3.1,187.0,0.3
Brighton Beach,BK1303,Brooklyn,"30,279",47.4,"5,180","8,392","3,408",11.3,"21,220",70.1,446,1.5,"2,825",9.3,"2,120",7.0,260.0,0.9
Flatbush,BK1401,Brooklyn,"70,800",36.0,"14,008","8,772","12,338",17.4,"10,594",15.0,"41,719",58.9,"3,069",4.3,"2,712",3.8,368.0,0.6
Flatbush (West)-Ditmas Park-Parkville,BK1402,Brooklyn,"41,597",39.3,"8,998","7,038","7,694",18.5,"15,878",38.2,"8,130",19.5,"7,965",19.1,"1,580",3.8,350.0,0.8
Midwood,BK1403,Brooklyn,"52,142",35.6,"14,258","9,261","4,402",8.4,"33,984",65.2,"3,549",6.8,"7,313",14.0,"2,220",4.3,674.0,1.3
Gravesend (East)-Homecrest,BK1501,Brooklyn,"50,129",37.5,"12,469","8,090","6,151",12.3,"32,696",65.2,"1,230",2.5,"7,513",15.0,"1,333",2.7,1206.0,2.4
Madison,BK1502,Brooklyn,"40,723",42.1,"8,944","8,654","3,109",7.6,"23,807",58.5,"1,332",3.3,"10,618",26.1,"1,644",4.0,213.0,0.5
Sheepshead Bay-Manhattan Beach-Gerritsen Beach,BK1503,Brooklyn,"66,402",45.6,"12,785","15,522","5,929",8.9,"40,057",60.3,"4,498",6.8,"13,490",20.3,"2,255",3.4,173.0,0.3
Ocean Hill,BK1601,Brooklyn,"40,131",33.8,"8,953","4,792","8,900",22.2,"3,263",8.1,"25,997",64.8,567,1.4,"1,052",2.6,352.0,0.9
Brownsville,BK1602,Brooklyn,"54,529",36.3,"12,671","7,054","14,121",25.9,"1,333",2.4,"35,765",65.6,666,1.2,"2,407",4.4,237.0,0.5
East Flatbush-Erasmus,BK1701,Brooklyn,"45,277",35.5,"8,082","6,205","3,401",7.5,"3,141",6.9,"34,864",77.0,"1,160",2.6,"2,006",4.4,705.0,1.6
East Flatbush-Farragut,BK1702,Brooklyn,"35,262",42.7,"6,422","7,245","3,206",9.1,572,1.6,"28,000",79.4,826,2.3,"2,488",7.1,170.0,0.5
East Flatbush-Rugby,BK1703,Brooklyn,"39,525",42.2,"7,228","7,595","2,347",5.9,"1,433",3.6,"33,151",83.9,538,1.4,"1,915",4.8,141.0,0.4
East Flatbush-Remsen Village,BK1704,Brooklyn,"38,460",40.6,"8,133","6,498","2,490",6.5,"1,315",3.4,"31,678",82.4,86,0.2,"2,452",6.4,439.0,1.1
Flatlands,BK1801,Brooklyn,"67,826",41.2,"14,639","12,740","5,812",8.6,"11,118",16.4,"42,805",63.1,"4,038",6.0,"3,013",4.4,1040.0,1.5
Marine Park-Mill Basin-Bergen Beach,BK1802,Brooklyn,"44,974",43.2,"10,478","9,516","3,380",7.5,"28,309",62.9,"6,365",14.2,"5,136",11.4,"1,394",3.1,390.0,0.9
Canarsie,BK1803,Brooklyn,"87,430",39.3,"19,478","14,416","8,087",9.2,"3,687",4.2,"69,126",79.1,"2,249",2.6,"3,720",4.3,561.0,0.6
Mott Haven-Port Morris,BX0101,Bronx,"57,846",32.0,"16,053","5,937","39,645",68.5,"1,466",2.5,"15,128",26.2,242,0.4,621,1.1,744.0,1.3
Melrose,BX0102,Bronx,"42,760",31.5,"12,337","4,489","30,565",71.5,525,1.2,"10,559",24.7,396,0.9,438,1.0,277.0,0.6
Hunts Point,BX0201,Bronx,"14,519",34.1,"3,816","1,906","10,598",73.0,272,1.9,"3,376",23.3,28,0.2,30,0.2,215.0,1.5
Longwood,BX0202,Bronx,"41,452",32.6,"10,992","4,369","30,525",73.6,"1,050",2.5,"9,055",21.8,206,0.5,444,1.1,172.0,0.4
Morrisania,BX0301,Bronx,"35,453",34.5,"9,613","3,320","20,073",56.6,722,2.0,"13,352",37.7,60,0.2,767,2.2,479.0,1.4
Claremont Village-Claremont (East),BX0302,Bronx,"23,929",31.9,"6,477","2,946","11,396",47.6,286,1.2,"11,664",48.7,3,0.0,513,2.1,67.0,0.3
Crotona Park East,BX0303,Bronx,"29,474",34.3,"7,635","3,232","18,103",61.4,373,1.3,"9,962",33.8,167,0.6,519,1.8,350.0,1.2
Concourse-Concourse Village,BX0401,Bronx,"68,692",36.3,"16,466","9,042","38,901",56.6,"3,162",4.6,"24,255",35.3,"1,213",1.8,753,1.1,408.0,0.6
Highbridge,BX0402,Bronx,"32,025",32.9,"9,081","3,142","19,670",61.4,"1,114",3.5,"10,106",31.6,220,0.7,573,1.8,342.0,1.1
Mount Eden-Claremont (West),BX0403,Bronx,"53,166",32.1,"14,986","5,397","36,069",67.8,"1,321",2.5,"14,001",26.3,542,1.0,694,1.3,539.0,1.0
University Heights (South)-Morris Heights,BX0501,Bronx,"55,671",33.7,"15,715","5,079","38,433",69.0,"1,243",2.2,"13,823",24.8,996,1.8,930,1.7,246.0,0.4
Mount Hope,BX0502,Bronx,"48,070",32.7,"12,920","4,782","30,955",64.4,763,1.6,"14,565",30.3,396,0.8,970,2.0,421.0,0.9
Fordham Heights,BX0503,Bronx,"33,606",30.5,"10,040","2,154","24,999",74.4,305,0.9,"7,443",22.1,292,0.9,322,1.0,245.0,0.7
West Farms,BX0601,Bronx,"18,526",32.1,"5,316","2,079","13,279",71.7,335,1.8,"4,433",23.9,107,0.6,195,1.1,177.0,1.0
Tremont,BX0602,Bronx,"32,561",30.6,"9,424","3,381","19,988",61.4,418,1.3,"11,449",35.2,107,0.3,470,1.4,129.0,0.4
Belmont,BX0603,Bronx,"36,322",27.5,"9,648","3,151","23,383",64.4,"4,019",11.1,"7,278",20.0,717,2.0,759,2.1,166.0,0.5
University Heights (North)-Fordham,BX0701,Bronx,"44,997",34.2,"10,830","5,583","36,882",82.0,"1,024",2.3,"5,519",12.3,879,2.0,289,0.6,404.0,0.9
Bedford Park,BX0702,Bronx,"54,787",34.1,"13,660","6,385","39,755",72.6,"3,094",5.6,"8,633",15.8,"2,297",4.2,604,1.1,404.0,0.7
Norwood,BX0703,Bronx,"39,659",35.5,"9,654","3,556","24,948",62.9,"3,561",9.0,"5,950",15.0,"4,255",10.7,587,1.5,358.0,0.9
Kingsbridge Heights-Van Cortlandt Village,BX0801,Bronx,"34,127",37.9,"7,836","5,349","23,984",70.3,"3,641",10.7,"5,239",15.4,698,2.0,486,1.4,79.0,0.2
Kingsbridge-Marble Hill,BX0802,Bronx,"26,309",35.5,"6,815","3,449","18,448",70.1,"3,196",12.1,"2,845",10.8,921,3.5,431,1.6,468.0,1.8
Riverdale-Spuyten Duyvil,BX0803,Bronx,"46,171",47.2,"8,561","13,438","12,700",27.5,"24,902",53.9,"4,210",9.1,"2,217",4.8,"1,506",3.3,636.0,1.4
Soundview-Bruckner-Bronx River,BX0901,Bronx,"67,145",33.0,"16,730","8,748","43,094",64.2,"1,203",1.8,"17,795",26.5,"2,611",3.9,"1,100",1.6,1342.0,2.0
Soundview-Clason Point,BX0902,Bronx,"36,804",36.3,"8,889","5,773","24,202",65.8,607,1.6,"10,451",28.4,608,1.7,419,1.1,517.0,1.4
Castle Hill-Unionport,BX0903,Bronx,"38,499",36.7,"9,131","5,987","21,596",56.1,"1,426",3.7,"7,882",20.5,"5,261",13.7,986,2.6,1348.0,3.5
Parkchester,BX0904,Bronx,"30,221",35.8,"7,342","4,142","11,164",36.9,484,1.6,"10,385",34.4,"7,284",24.1,562,1.9,342.0,1.2
Westchester Square,BX1001,Bronx,"15,793",35.5,"3,893","2,254","9,183",58.1,691,4.4,"1,712",10.8,"3,406",21.6,494,3.1,307.0,1.9
Throgs Neck-Schuylerville,BX1002,Bronx,"49,064",36.1,"11,177","7,104","24,805",50.6,"15,240",31.1,"5,191",10.6,"2,874",5.9,665,1.4,289.0,0.6
Pelham Bay-Country Club-City Island,BX1003,Bronx,"27,616",42.0,"5,391","5,282","11,973",43.4,"12,102",43.8,"1,449",5.2,"1,427",5.2,500,1.8,165.0,0.6
Co-op City,BX1004,Bronx,"36,651",47.1,"6,372","9,764","11,027",30.1,"1,613",4.4,"21,882",59.7,"1,004",2.7,"1,118",3.1,7.0,0.0
Pelham Parkway-Van Nest,BX1101,Bronx,"29,915",34.1,"7,066","3,131","16,135",53.9,"4,870",16.3,"5,526",18.5,"2,330",7.8,655,2.2,399.0,1.3
Morris Park,BX1102,Bronx,"22,059",39.2,"4,157","3,876","8,812",39.9,"8,713",39.5,"1,193",5.4,"2,649",12.0,507,2.3,185.0,0.9
Pelham Gardens,BX1103,Bronx,"29,211",42.2,"6,004","5,694","10,900",37.3,"5,463",18.7,"9,488",32.5,"2,835",9.7,301,1.0,224.0,0.7
Allerton,BX1104,Bronx,"35,581",37.5,"8,389","5,318","18,009",50.6,"4,314",12.1,"9,590",27.0,"1,957",5.5,"1,333",3.7,378.0,1.1
Williamsbridge-Olinville,BX1201,Bronx,"59,256",34.6,"14,487","7,811","20,841",35.2,"1,784",3.0,"32,410",54.7,"1,056",1.8,"1,442",2.4,1723.0,3.0
Eastchester-Edenwald-Baychester,BX1202,Bronx,"53,378",37.0,"12,426","7,821","13,993",26.2,"1,217",2.3,"36,160",67.7,487,0.9,"1,064",2.0,457.0,0.8
Wakefield-Woodlawn,BX1203,Bronx,"48,403",39.6,"10,042","8,007","12,033",24.9,"6,677",13.8,"24,469",50.6,"1,753",3.6,"1,476",3.0,1995.0,4.1
Financial District-Battery Park City,MN0101,Manhattan,"48,693",34.3,"6,716","4,384","3,710",7.6,"30,548",62.7,"1,868",3.8,"9,586",19.7,"2,258",4.6,723.0,1.4
Tribeca-Civic Center,MN0102,Manhattan,"23,777",37.7,"4,237","3,040","2,880",12.1,"14,482",60.9,"1,274",5.4,"4,104",17.3,921,3.9,116.0,0.5
SoHo-Little Italy-Hudson Square,MN0201,Manhattan,"21,940",39.4,"2,048","4,049","2,137",9.7,"13,886",63.3,222,1.0,"5,027",22.9,530,2.4,138.0,0.6
Greenwich Village,MN0202,Manhattan,"31,968",34.8,"2,462","5,693","2,458",7.7,"22,702",71.0,"1,131",3.5,"4,770",14.9,839,2.6,68.0,0.2
West Village,MN0203,Manhattan,"31,798",40.4,"2,400","5,257","3,490",11.0,"24,228",76.2,755,2.4,"1,938",6.1,"1,286",4.0,101.0,0.3
Chinatown-Two Bridges,MN0301,Manhattan,"40,100",47.9,"5,929","10,845","6,905",17.2,"4,764",11.9,"2,668",6.7,"24,278",60.5,"1,156",2.9,329.0,0.9
Lower East Side,MN0302,Manhattan,"45,800",42.1,"5,747","9,560","14,134",30.9,"15,356",33.5,"4,942",10.8,"9,731",21.2,"1,199",2.6,438.0,1.0
East Village,MN0303,Manhattan,"69,294",33.8,"5,857","10,210","17,302",25.0,"32,424",46.8,"5,635",8.1,"10,356",14.9,"3,040",4.4,537.0,0.8
Chelsea-Hudson Yards,MN0401,Manhattan,"62,046",39.6,"5,851","9,164","10,853",17.5,"36,700",59.1,"3,642",5.9,"8,017",12.9,"2,427",3.9,407.0,0.7
Hell's Kitchen,MN0402,Manhattan,"54,411",39.0,"3,588","9,387","11,428",21.0,"28,265",51.9,"2,459",4.5,"9,410",17.3,"2,551",4.7,298.0,0.5
Midtown South-Flatiron-Union Square,MN0501,Manhattan,"28,936",35.2,"2,718","3,313","3,341",11.5,"17,243",59.6,"1,601",5.5,"5,406",18.7,"1,147",4.0,198.0,0.7
Midtown-Times Square,MN0502,Manhattan,"21,514",44.2,"1,915","4,530","2,711",12.6,"11,507",53.5,"1,756",8.2,"4,052",18.8,"1,279",5.9,209.0,0.9
Stuyvesant Town-Peter Cooper Village,MN0601,Manhattan,"21,575",40.1,"2,976","3,575","1,590",7.4,"15,903",73.7,515,2.4,"2,585",12.0,895,4.1,87.0,0.4
Gramercy,MN0602,Manhattan,"26,083",34.2,"2,753","3,732","2,089",8.0,"17,493",67.1,"1,693",6.5,"3,894",14.9,859,3.3,55.0,0.2
Murray Hill-Kips Bay,MN0603,Manhattan,"55,247",34.2,"4,808","8,466","5,788",10.5,"31,783",57.5,"3,298",6.0,"11,161",20.2,"2,776",5.0,441.0,0.8
East Midtown-Turtle Bay,MN0604,Manhattan,"40,734",46.8,"3,856","11,844","3,368",8.3,"29,733",73.0,622,1.5,"5,887",14.5,988,2.4,136.0,0.4
Upper West Side-Lincoln Square,MN0701,Manhattan,"65,909",42.7,"9,970","12,891","6,305",9.6,"42,623",64.7,"3,245",4.9,"10,811",16.4,"1,562",2.4,1363.0,2.1
Upper West Side (Central),MN0702,Manhattan,"101,672",43.8,"17,535","22,370","13,901",13.7,"72,847",71.6,"3,469",3.4,"6,501",6.4,"4,515",4.4,439.0,0.4
Upper West Side-Manhattan Valley,MN0703,Manhattan,"53,065",39.4,"7,583","11,110","15,472",29.2,"24,134",45.5,"6,567",12.4,"5,392",10.2,"1,235",2.3,265.0,0.5
Upper East Side-Lenox Hill-Roosevelt Island,MN0801,Manhattan,"80,352",37.5,"13,127","14,796","7,198",9.0,"56,836",70.7,"2,726",3.4,"10,978",13.7,"2,006",2.5,608.0,0.7
Upper East Side-Carnegie Hill,MN0802,Manhattan,"53,138",49.8,"8,927","15,592","4,055",7.6,"42,573",80.1,454,0.9,"4,247",8.0,"1,650",3.1,159.0,0.3
Upper East Side-Yorkville,MN0803,Manhattan,"77,645",41.8,"9,489","17,231","8,515",11.0,"55,894",72.0,"3,471",4.5,"6,887",8.9,"2,255",2.9,623.0,0.8
Morningside Heights,MN0901,Manhattan,"37,772",28.1,"3,907","5,157","7,823",20.7,"16,856",44.6,"4,544",12.0,"6,777",17.9,"1,311",3.5,461.0,1.3
Manhattanville-West Harlem,MN0902,Manhattan,"23,487",34.1,"4,589","3,107","12,105",51.5,"3,380",14.4,"6,364",27.1,"1,089",4.6,494,2.1,55.0,0.2
Hamilton Heights-Sugar Hill,MN0903,Manhattan,"53,354",37.0,"8,452","6,535","26,060",48.8,"9,129",17.1,"13,721",25.7,"2,026",3.8,"1,996",3.7,422.0,0.8
Harlem (South),MN1001,Manhattan,"49,776",36.6,"9,348","5,401","9,209",18.5,"12,017",24.1,"23,008",46.2,"2,759",5.5,"2,242",4.5,541.0,1.1
Harlem (North),MN1002,Manhattan,"86,108",37.1,"17,304","10,412","22,961",26.7,"8,708",10.1,"48,206",56.0,"2,549",3.0,"2,665",3.1,1019.0,1.2
East Harlem (South),MN1101,Manhattan,"58,525",38.3,"9,960","10,144","24,869",42.5,"10,878",18.6,"12,757",21.8,"7,512",12.8,"1,454",2.5,1055.0,1.8
East Harlem (North),MN1102,Manhattan,"64,572",36.4,"14,188","8,893","28,407",44.0,"6,771",10.5,"24,714",38.3,"2,720",4.2,"1,626",2.5,334.0,0.5
Washington Heights (South),MN1201,Manhattan,"81,293",37.2,"12,175","13,048","58,077",71.4,"10,550",13.0,"7,610",9.4,"3,118",3.8,"1,345",1.7,593.0,0.7
Washington Heights (North),MN1202,Manhattan,"80,504",39.4,"13,650","13,134","51,633",64.1,"21,162",26.3,"2,973",3.7,"2,280",2.8,"1,793",2.2,663.0,0.9
Inwood,MN1203,Manhattan,"40,883",37.5,"8,015","5,722","28,486",69.7,"7,515",18.4,"2,355",5.8,"1,387",3.4,955,2.3,185.0,0.5
Astoria (North)-Ditmars-Steinway,QN0101,Queens,"48,793",36.1,"7,879","6,587","10,803",22.1,"29,674",60.8,"2,214",4.5,"4,154",8.5,"1,764",3.6,184.0,0.4
Old Astoria-Hallets Point,QN0102,Queens,"12,995",36.1,"2,127","1,754","4,637",35.7,"4,326",33.3,"1,491",11.5,"1,867",14.4,531,4.1,143.0,1.1
Astoria (Central),QN0103,Queens,"46,503",36.0,"5,199","5,755","10,774",23.2,"23,641",50.8,858,1.8,"8,435",18.1,"1,818",3.9,977.0,2.1
Astoria (East)-Woodside (North),QN0104,Queens,"37,239",36.5,"5,718","4,462","11,748",31.5,"16,813",45.1,"1,493",4.0,"5,394",14.5,"1,549",4.2,242.0,0.7
Queensbridge-Ravenswood-Dutch Kills,QN0105,Queens,"25,694",36.2,"4,340","3,737","8,204",31.9,"6,205",24.1,"4,378",17.0,"5,720",22.3,"1,050",4.1,137.0,0.5
Long Island City-Hunters Point,QN0201,Queens,"25,823",33.7,"4,484","1,311","2,635",10.2,"11,787",45.6,"1,040",4.0,"8,300",32.1,"1,761",6.8,300.0,1.2
Sunnyside,QN0202,Queens,"49,054",38.3,"8,472","6,513","16,880",34.4,"15,232",31.1,"1,184",2.4,"14,043",28.6,"1,327",2.7,388.0,0.7
Woodside,QN0203,Queens,"49,495",39.9,"9,694","7,964","19,049",38.5,"8,915",18.0,376,0.8,"20,129",40.7,697,1.4,329.0,0.7
Jackson Heights,QN0301,Queens,"93,394",41.7,"17,402","15,216","47,801",51.2,"16,022",17.2,"2,524",2.7,"23,750",25.4,"2,678",2.9,619.0,0.7
East Elmhurst,QN0302,Queens,"26,143",38.8,"5,307","3,860","15,441",59.1,"1,259",4.8,"4,813",18.4,"3,935",15.1,604,2.3,91.0,0.3
North Corona,QN0303,Queens,"42,364",33.1,"11,049","3,232","36,497",86.2,682,1.6,"1,844",4.4,"3,115",7.4,55,0.1,171.0,0.4
Elmhurst,QN0401,Queens,"104,486",37.5,"22,451","13,471","43,798",41.9,"5,403",5.2,"1,527",1.5,"51,346",49.1,"1,745",1.7,667.0,0.6
Corona,QN0402,Queens,"70,680",35.7,"16,921","8,704","49,231",69.7,"4,359",6.2,"6,528",9.2,"9,576",13.5,496,0.7,490.0,0.7
Maspeth,QN0501,Queens,"43,574",40.0,"9,499","5,728","15,810",36.3,"20,520",47.1,350,0.8,"5,790",13.3,658,1.5,446.0,1.0
Ridgewood,QN0502,Queens,"69,193",35.0,"13,029","7,128","31,539",45.6,"27,567",39.8,"1,887",2.7,"5,907",8.5,"1,934",2.8,359.0,0.5
Glendale,QN0503,Queens,"36,580",39.0,"7,815","5,562","15,975",43.7,"18,227",49.8,643,1.8,"1,345",3.7,281,0.8,109.0,0.3
Middle Village,QN0504,Queens,"35,556",44.7,"6,938","7,739","7,772",21.9,"21,625",60.8,244,0.7,"4,595",12.9,542,1.5,778.0,2.2
Rego Park,QN0601,Queens,"30,635",42.6,"5,570","5,881","6,611",21.6,"10,668",34.8,739,2.4,"10,815",35.3,"1,456",4.8,346.0,1.1
Forest Hills,QN0602,Queens,"91,709",43.8,"16,908","18,547","15,686",17.1,"42,067",45.9,"2,938",3.2,"25,605",27.9,"4,612",5.0,801.0,0.9
College Point,QN0701,Queens,"31,598",39.8,"6,960","6,395","12,481",39.5,"8,139",25.8,422,1.3,"10,092",31.9,257,0.8,207.0,0.6
Whitestone-Beechhurst,QN0702,Queens,"29,815",47.3,"5,704","7,424","4,370",14.7,"17,690",59.3,77,0.3,"6,985",23.4,481,1.6,212.0,0.7
Bay Terrace-Clearview,QN0703,Queens,"23,518",49.1,"3,924","6,576","3,254",13.8,"12,464",53.0,232,1.0,"6,685",28.4,468,2.0,415.0,1.8
Murray Hill-Broadway Flushing,QN0704,Queens,"55,058",46.1,"9,679","11,139","7,972",14.5,"11,545",21.0,989,1.8,"32,939",59.8,853,1.5,760.0,1.4
East Flushing,QN0705,Queens,"30,278",48.7,"4,312","7,956","5,353",17.7,"4,318",14.3,800,2.6,"18,941",62.6,510,1.7,356.0,1.2
Queensboro Hill,QN0706,Queens,"20,395",39.7,"4,332","3,706","3,151",15.4,"2,760",13.5,188,0.9,"13,931",68.3,231,1.1,134.0,0.6
Flushing-Willets Point,QN0707,Queens,"59,370",47.9,"7,665","13,294","7,513",12.7,"4,130",7.0,"1,416",2.4,"45,241",76.2,657,1.1,413.0,0.7
Kew Gardens Hills,QN0801,Queens,"36,124",36.8,"8,931","5,862","6,526",18.1,"16,982",47.0,"2,773",7.7,"8,009",22.2,"1,262",3.5,572.0,1.5
Pomonok-Electchester-Hillcrest,QN0802,Queens,"37,139",37.8,"7,669","5,988","10,692",28.8,"9,266",24.9,"5,324",14.3,"10,321",27.8,"1,279",3.4,257.0,0.7
Fresh Meadows-Utopia,QN0803,Queens,"22,720",42.5,"4,871","4,093","2,846",12.5,"6,314",27.8,"1,761",7.8,"11,229",49.4,460,2.0,110.0,0.5
Jamaica Estates-Holliswood,QN0804,Queens,"24,798",44.5,"4,815","4,627","3,650",14.7,"6,129",24.7,"5,773",23.3,"7,497",30.2,"1,131",4.6,618.0,2.5
Jamaica Hills-Briarwood,QN0805,Queens,"39,202",37.7,"8,188","6,111","7,724",19.7,"8,020",20.5,"5,624",14.3,"15,044",38.4,"1,660",4.2,1130.0,2.9
Kew Gardens,QN0901,Queens,"24,023",41.6,"4,592","4,302","5,562",23.2,"10,639",44.3,"1,593",6.6,"4,828",20.1,836,3.5,565.0,2.3
